title,reviewer,travel_root,text,flight_type,rating,travel_date,reviewed_Date,Legroom_rating,Seat comfort_rating,In-flight Entertainment,Customer service,Value for money,Cleanliness,Check-in and boarding,Food and Beverage
Worst airlines,ananthu t,Dubai - Thiruvananthapuram (Trivandrum),"Worst airline operating in middle East. Hardly they keep the time..if delayed..no explanation, no compliments. Seating and space terrible. They are strictly only on one area . .. baggage weight..not even accomodate duty free items.. If not with comparable low price for ticket.. the airline would have shut down....it's a good example how an airline should not be.",International,1.0,February 2025,5 February 2025,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0
Rude staffs,Roam55578307570,Bengaluru - Dimapur,"Worst behaviour from staffs ,, I had  book flight tickets for 3 persons which costed me 27k n reached there before an hour by that time the baggage counter was already closed so we requested the lady who was in the counter that we don’t need the baggage just let us board the plan she didn’t say anything n just took us out the she took our names after that she told us to book the next flight ,, we requested her many times but she didn’t said anything n kept telling us to book the next flight ,, very poor helping the customers  n worst experience never travelling with this airline again",Domestic,1.0,February 2025,5 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Worst,Mobile63007911997,Hyderabad - Visakhapatnam,Worst flight.. yesterday 9pm  my journey.. today mrng 9:30 .. still now the flight did not moved.. please don’t book the tickets in air India express,Domestic,1.0,February 2025,4 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Disappointing Experience with Air India Express,Wander49072723819,Chennai (Madras) - Pune,"I booked an Air India Express flight scheduled for 8:50 PM, expecting to reach Pune by 10:30 PM. Despite the higher fare, I chose this flight because I wanted to reach home early. However, without any valid reason or prior communication, the airline delayed the flight by nearly 2 hours.

Such unprofessionalism is unacceptable, especially when passengers are paying a premium for convenience. There was no proper explanation or assistance provided during the delay, making the experience even more frustrating. Definitely not the level of service one expects!",Domestic,2.0,February 2025,4 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Very very Bad service by Air India express- delayed / cancelled flights / no refreshments,Trainer John,Kozhikode - New Delhi,"Most pathetic airlines and handling staff …. At Kozhikode airport … 

1. Flight got cancelled , revised flight at 9 am to bangalore for delayed , revised flight may be at 1400 hrs …. These guys just harass passengers …. Don’t ever try air india express ..",Domestic,1.0,February 2025,3 February 2025,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0
Rude n unhelpful non empathic crew over charged which was not at all required,Trip61144583180,Jaipur - Hyderabad,Worst worst worst experience very rude n unprofessional unempathic staff overcharged us 4000 rs for a single bag which was not required with threatening that if not paid all 5 will be u boarded including my 6 years old adhd autistic son requested so badly having 35 kgs still left on hand bagge still charged very upset show some humanity,Domestic,1.0,January 2025,3 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUE TO GSN NO WHICH NOT VALID IN UAE UNABLE TO BOOK TICKET,AL MADINAH I,Dubai - Male,AIRINDIA EXPRESS TIA CHAT IS ONE OF WORST SERVICE. ZERO STAR.INSTEAD THEY TO TAKE CUSTOMER QUESTION BY EMAIL. I AM TRYING TO BOOK TICKET DUE TO GSN NO WHICH NOT VALID IN UAE UNABLE TO BOOK TICKET.,International,1.0,February 2025,3 February 2025,N/A,N/A,N/A,N/A,1.0,N/A,N/A,N/A
Thank my lucky stars that I don't have to use AIX more than twice.,Aakash P,Jaipur - New Delhi,"The website experience is bottom of the barrell - all fancy looking but across the board terrible. Looks like $0 invested into website's testing to ensure that things work. 
2/10 times, the PNR and last name doesn't fetch the booking. 4-5/10 times, the OTP takes so long that the time expires or it doesn't come at all. 9/10 times, something or the other goes wrong and you can't get in and out of AIX website without pulling some hair out. 1 in 10 times, everything works fine so if you had a good experience - congratulations! You've been spared the headache. 

When you get to the actual flight, well, it works! It goes from one place to the other. Doesn't crash, has seats with seatbelts. Not sure about the aircraft maintenance and all that - I didn't see anything wrong so I don't have any complaints. 

BUT THE SERVICE!! I am glad I don't live in India anymore because I travel a lot for work and if I had to deal with this BS on a monthly basis, I will likely die 15 years early from stress.",Domestic,4.0,February 2025,1 February 2025,2.0,3.0,1.0,1.0,3.0,2.0,1.0,4.0
Worst,Curious44516525923,New Delhi - Goa,Pathetic. 9:30 pm flight first rescheduled to 2:30 am then again rescheduled to 1am. And worst of all boarding did not start till 1am since crew had not reached boarding gates. Worst,Domestic,1.0,January 2025,1 February 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Very bad experience,Curiosity40254628358,Bengaluru - Abu Dhabi,Pls don't book air India express I request you all the worst flight in my life always delay pls book indigo it'd on time always,International,1.0,February 2025,1 February 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Delayed flight + missed connection,gaya3,Pune - Kochi (Cochin),"Terrible customer service and communication about delayed flight. Booked a round trip from Kochi to Pune and both flights were delayed by at least 2 hours. On top of the delay, missed the connection in BLR for my Pune to Kochi transit and was never compensated for this. Instead they booked me on a flight almost 12 hours later from Bangalore to Kochi. I had to stay in Bangalore airport for almost 12 + hours waiting for this next transit flight. The delay and missed connection was never communicated to us properly (no text message or calls or emails). Contacted them multiple times for this compensation for the inconvenience caused but they replied only with apologies and no compensation.",Domestic,1.0,January 2025,30 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Delayed service,Mubeen M,Abu Dhabi - Kannur,"It's disappointing to hear that Air India Express seems to have a lack of regard for customers' time, which is a crucial aspect of any airline's service. Delayed flights, poor communication, and inefficient operations can cause significant inconvenience to passengers, and it's essential for airlines to prioritize punctuality and customer satisfaction to maintain a good reputation and build trust with their customers.",International,1.0,January 2025,30 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
A Flight to Forget: My Appalling Experience with Air India Express (IX 1331),Venture37794989262,Bengaluru - Hyderabad,"I recently had the misfortune of flying with Air India Express from Bengaluru to Hyderabad (Flight IX 1331) for a corporate visit, and I can confidently say it was one of the worst flying experiences of my life.

Let’s start with the filthy seats—covered in mysterious stains that made me question whether cleanliness is even a concern for this airline. It was absolutely disgusting to witness such negligence from a company that is supposed to prioritize hygiene and passenger comfort.

But the horror didn’t stop there. I had prepaid for a meal, expecting a decent breakfast to prepare myself for the day ahead. Instead, I was left hungry and frustrated, as the cabin crew conveniently decided not to serve it—citing the short duration of the flight as an excuse. So, Air India Express happily takes money for services they have no intention of providing?

This was beyond unacceptable, and I would strongly warn anyone against flying with Air India Express. If this is how they treat paying customers, I can only imagine what other corners they cut. NEVER AGAIN!!.",Domestic,1.0,January 2025,29 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Great experience overall and cooperative staff,Travel34766417378,Bengaluru - Kolkata (Calcutta),The staff was really helpful. Mr. Lenisht helped me alot during the check-in. He made sure I got my preferred seat too :)) thank you so much for all of this.,Domestic,5.0,December 2024,29 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seat selection  mandatory  charges,Uday S,Kuching - Pune,"I had booked 2 tickets, didn't opt for seat selection, didn't do web check in ,at airport I was told by staff that I have to pay rs450 per seat as seat selection charges,I told them that they can allocate any seat,staff told that without payment they can't print boarding pass.
I hate this kind of extortion.
Web check in also is not allowed unless you pay,then why this feature is there",Asia,1.0,January 2025,27 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Worst experience ever,Climber15423681259,Bengaluru - Dimapur,"Firstly I have reached at the  airport by 3:00am and I went inside directly to check in but My luggage was little bit heavy so I book cap to drop my luggage to my appartment but the security is not allowing me to go out and telling me to go inside and said to air India express staff so I went inside and say to the air India express staff Instead of assorting me they send me again to the security that happen 4 times. What is the point of keeping the ground staff for decoration!! If they cannot help the the customer!
 so  I don't have any option. I check the time it was 4:30 am and I call my friend to pick my luggage but my friend said that to reach airport it will take 
1 hours. I have a flight at 5:30 departure so I please the security to keep my luggage for sometime my friend is coming to collect but they are not allowing me. they keep telling me to go inside and said to those useless staff. finally a girl take me to the security and take me out and I send my luggage to my appartment and I check the time again it was 5:7 am already so I rush inside the airport and give my boarding pass they said that check in time is over so they are not allowing me to go in and I missed my flight. I ask for refund but I didn't get even a penny. I really really regret for choosing this airline air India express worst experience ever in my life and not only that the staff service is zero they don't know how to talk to the costomer and they dont understand what the customer need I never across this kind of service first time in my life",Domestic,1.0,January 2025,26 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Additional luggage and exchange fees too much expensive,Quest33422856071,Goa - Bhubaneswar,"I lost so much money. 

If you want an extra laggage, you will pay 900 rupees just to get an extra laggage and then 7500 rupees for the 15kg weight allowance. 8400 rupees just for adding a 15kg checkin laggage.

Not only this. 

I mistaken the travel dates, took 5 february instead of 5 january. After 2 days I realized and I called back to explain it was a mistake and I asked them if they could please change my dates. They said that more than 24 hours passed so I had to pay the exchange fees. How much? 15000 rupees!! 15000 rupees to exchange the dates of a domestic flight of only 2 hours! I paid less for the ticket itself than for the exchange fees! It was 2 months before departure, so it wouldn't cost them anything. I tried to explain it was a mistake but no help at all. 

I really really really regret that I didn't book an indigo flight.",Domestic,1.0,January 2025,26 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Absolutely horrendous,Ahmad F,Abu Dhabi - Thiruvananthapuram (Trivandrum),"Absolutely horrendous customer service and laggy system, flight delayed 14 hours and won't provide an offload form due to their system showing that I have boarded already, a flight that is cancelled? Stuck at the airport due to their incompetence, please never use this airline, stay away from all air india stuff.",International,1.0,December 2024,26 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Horrible website and service,Go05047953875,Mumbai - Dubai,"Extreme extreme bakwassss cheap and not managed flight service... Every person has 30 kg alloted but they charged us for 50 kg for 3 person... Not cleared instructions on site and real staff both are diff ... Overacting staff... 
Plus their is no option to add infant on website while booking 

So they need to 1st update their site 
Even they are charging where ther ia no need",International,1.0,January 2025,25 January 2025,2.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0
Bad behaviour by staff of Air India Express,OnAir21269004520,Goa - Mumbai,"The flight has extremely poor service.
The most regretful thing about this air lines is the bad behaviour of their staff with customers. Its so bad that even if you ask for a simple help, they will respond in a rude and bad manner to you. They dont seem to care at all about good service to their customers.",Domestic,1.0,January 2025,25 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Best experience,Sightsee59512406689,Varanasi - Bengaluru,"To day me and my brother  checked in at Varanasi airport, travelling to bangalore  the air india express staff Ms. Khushboo Jaiswal and prashanth sing was very kind, helpfull informative, first time I experienced such a wonderful service from the staff of air india express. Keep it up air india express ....",Domestic,1.0,January 2025,23 January 2025,N/A,N/A,2.0,5.0,3.0,3.0,5.0,1.0
Worst experience,GrandTour61809497008,Kolkata (Calcutta) - Bagdogra,"Extremely crampy, no legroom, very poor management plus the worst thing is the flight kept on getting delayed. Our flight was delayed by 2hr40 mins. Like is this a joke? People value time, the airlines may not. Atleast after the takeover of the services by Tata this kind of service was not expected from Air India express!!!",Domestic,1.0,January 2025,23 January 2025,1.0,1.0,N/A,2.0,1.0,4.0,1.0,N/A
Worst experience!!!,Maps48751108539,Indore - Hyderabad,"Okay, so I usually stick to Indigo, but this time I thought, 'Let’s try Air India Express for a change!' Bad idea. Same story—flight late as usual. And you know what? My mom was right. She always says, 'Kisne kaha tha evening flight book kar? Wo hamesha late hoti hai!' Now, I totally get it.

To add to the drama, I left my bag on a seat for a sec, and the air hostess came at me like I was trying to start a 'bag-on-seat' revolution. 'Mam, don’t put your stuff here!' she says, like I’m the first person ever to make that mistake. So, yeah, delayed flights, mom's warning, and a lecture. Classic!",Domestic,1.0,December 2024,23 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Worst Service and Charging extra for luggage,Sowmya K,Jaipur - Hyderabad,"Air India on board service and website web checkin process is worst. Moreover, compared to other airlines they charge more for extra luggage hardly 2 kgs extra than permitted. We had space in hand luggage but they didn’t permit us to do. Never ever opt Air India Express",Domestic,1.0,January 2025,21 January 2025,N/A,N/A,N/A,1.0,1.0,N/A,1.0,1.0
Don’t travel in Air India Express,hiren,New Delhi - Goa,"Team,
please take a note of the incident that we have faced today, we were travelling from Delhi to Mumbai via Goa flight. We were total four passenger and we had total four bags for check-in and two bags for hand carry in our check-in bag. We had 2 KG luggage, extra and our handbag had 3 KG less weight. But still Mr Sourav Ghosh has Not allowed us to check in the bag with extra 2 KG. He has made sure that we open the bag and transfer the luggage at the time of check-in.
I feel that was not fair with us because we didn’t had a handbag extra. Only the check-in baggage was 2 KG extra, so he could have been adjusted the weight, but he did not do that and made us trouble opening each and every bag and take out the luggage.
this was the worst experience what we had so from next time onwards we definitely need to think about if we want to travel by air express or no?
and I would definitely not recommend this Fly to anyone as the ground staff is very much rude with the customers. They have no language to talk to the customers. They are not at all cooperative with passengers.
Don’t travel by Air india Express…",Domestic,1.0,December 2024,19 January 2025,N/A,N/A,N/A,1.0,1.0,N/A,1.0,N/A
The worst flight ever - expect major delays!,Harsha B,Dubai - Jaipur,The most unprofessional flight staff and overall experience was just horrible. Flight delayed by an hour and then in taxi after landing for 1.5 hours!,International,1.0,January 2025,18 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Third class service,Voyage55868779981,Mumbai - Bengaluru,I did not have any issue coming from Bangalore to Bombay. But in BombayAirport  the checkin staff was very rude and she charged 1400/-  and offered me non reclining emergency row and she said seats were not available and in flight they have drawn marks on Shah Rukh Khan's face they are hiring school kids rather than graduates pathetic Airline,Domestic,1.0,December 2024,18 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
worst flight experience of my life.,Sumit Verma,New Delhi - Bengaluru,"I have recently took flight from Delhi to Banglore and It was worst flight experience of my life.
As luggage counter was closed half an hour before boarding starts, I couldn't put my trolly in luggage. 
There staff was ill mannnered and misbhaving with every passenger.
They charged me Rs 800 Per Kg and after they didin’t allow me to take that trolly to the cabin instead they took my trolley and put in luggage section.
Also Flight was in bad condition.
I had expeience of local bus which could somehow fly.
I am not gonna travel ever again on this flight",Domestic,1.0,November 2024,17 January 2025,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Horrendous experience  , horrible flight service customer care",Curiosity36656963426,Bangkok - Bengaluru,"Horrible, Terrible experience & hopeless 31st December ever of my & my wife's life.
We had a flight from Bangkok to Bangalore via Amristar on 30th of December 2024. After suffering in flight for 5 hours they told there is some technical issue GPS isn't working & we'll schedule the flight for the next day.
Almost after 24hours they had a flight ready, so 31st of December 2024 ow gone.
On top of that in foreign country we had yo submit our passport to immigration team because we can't do anything of our own because we had already boarded the flight & then deboarded.
Neither they gave any refund or compensation in terms of money.

After coming back to India I had called them & asked them for a formal letter stating reason for delay & flight details so that I can submit it to Insurance company. 
It's been more than a week, nobody is bothered to even respond to email.

Planning to go to consumer court but thought of posting here as well so that people would be aware & will never go through thus flight. 
If they can't have courtesy to help customers,  they should simply close there operation & stop troubling the customer forever.",Asia,1.0,December 2024,16 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pathetic operational team and time mgt,Vishal C,Mumbai - New Delhi,"They are almost degrading the brand value of Tata zero service zero homework zero time management 
There team must take bribe to delay operational work to delay flight and services one must avoid this group unless they revise services by changing team and sop",Domestic,1.0,December 2024,15 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Connected flight missed by delayed 2 hrs from Mumbai,Mohammad Aslam,Mumbai - Lucknow,"Worst experience of my travel … flight is delay 2 hrs from Mumbai, and that why my connected flight is miss from Delhi. Then Floor staff not do any thing give only one solution next flight at 13.15 and my connecting flight at morning 6.40 am have missed . 
I waiting at airport 5 hrs . Seating on chair, worst management and aircraft, Don’t have any solution for the customer.",Domestic,1.0,January 2025,12 January 2025,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0
Horrible experience,VijiVijayan294265,Singapore - Tiruchirappalli,"This is an awful airline with no safety standards. the checkin staff Navin in Singapore and Ragadeesh in Trichy were fantastic. They were helpful and polite and I was very happy to have them help me. The cabin crew are very nice and the flight was really smooth so the cockpit crew is experienced. I blame the airline for poor safety and  putting the crew's life in misery. The seats are awful, the passengers got drunk with duty free alcohol, did not know how to use the bathroom. Crew were not able to secure all hand baggage due to space constraints. What should the airlines do. Improve the safety DO NOT allow all the liquor bottles and hand carry to be brought into the cabin, don't be greedy think of the safety. Be strict on securing the luggage in the overhead compartments and the use of seat belt. If the airlines doesn't care what can the crew do. Get your act together Air India Express.I will never fly in this airline again but I feel bad for the crew, take care of them.",Asia,4.0,January 2025,12 January 2025,N/A,1.0,N/A,4.0,1.0,1.0,4.0,N/A
Careless  Airlines,Trip27113925667,Kolkata (Calcutta) - Chennai (Madras),Worst service because of them i missed my importance meeting.if they are going to Delay the flight why did Airlines need to mention in that hrs.,Domestic,1.0,January 2025,9 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Very very poor,Dreamer05703067466,Pune - Bagdogra,"Third class service, When we weighed the bag, it was 6 kg, but when we got to the airport, it suddenly gained 2 kg. And for bag opening they will charge money. What a rubbish airline service, need to shut down and start a autorickshaw service.",Domestic,1.0,December 2024,9 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Air India Express: Pay more, carry less—now that's express service!",Kelvin K J,Kochi (Cochin) - Kuwait City,"Paid for 3 extra kilos of hand baggage, but guess what? Air India Express staff told me at the airport, 'Sorry, sir/ma’am, only 7 kilos allowed.' So, basically, I paid extra for... nothing! Maybe they thought I was donating to their invisible baggage fund? If you're planning to carry a feather and a dream, this airline is perfect for you. Otherwise, save your money and your sanity. Thanks for the comedy show at check-in",International,1.0,January 2025,9 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
flight going from bangalore to surat take off late,Voyage56114787161,Bengaluru - Surat,it was a bad flight the pilot did an emergency landing but he is saying we will go back to surat and why are you going back to surat air hostess did not even give food that is it i am done i don't have anything else to say about air india express never choose air india express,Domestic,1.0,November 2024,9 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Nightmare,Travel65238823856,New Delhi - Srinagar,"Worst flight and facilities, every other flight was on time except air india express and the staff was not at all cooperative, won’t recommend at all, if there is an emergency go from bicycle instead taking air India express, you will reach faster.",Domestic,1.0,January 2025,8 January 2025,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0
Best Air hostess Services From Miss Deepak,Dream65352217283,Dubai - Lucknow,"I was traveling from Dubai To Lucknow , in my flight i didn't ask air hostess other than a water .But I noticed a Air hostess Miss Deepak , She was doing her job very professionally and Most important with a big smile on her face and even she was facing some rude and I'll mannered customers but she handled them with same professional way and with a smile as she was handling other good behave customers . Other crew members was also good but they don't have smiles on their faces . She was like, she was enjoying her duty . I am a frequent flyer but after 5 years I saw a good Air hostess Miss Deepak and this time Air India Express really did a good thing to hire Miss Deepak as a crew member. Hope Air india express hire crew members same as her .",International,4.0,January 2025,7 January 2025,4.0,3.0,1.0,5.0,3.0,3.0,3.0,4.0
Worst staff and airline,Rameshwari J,Pune - Kochi (Cochin),"Worst airline, worst service at airport. Please don’t book the tickets. They rescheduled my ticket 3 times. Worst experience. Worst staff at airport.",Domestic,1.0,December 2024,7 January 2025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Appalling in every way!,Jan W,New Delhi - Goa,"Appalling in every way! Never want to fly with them again - utter chaos from start to finish - delay after delay, rude, lying staff (at boarding gate) - cant bieve i had to collect my case from uk ai flight and recheck in again for transit flt to goi?!! Ffs! Queued for 2 hrs wrong q due to wrong info by staff, wrong luggage belt info from aircrew. Lost bag due to inaccurate info again from staff - resulting in yet more delay. Staff moving at a glacial pace inspite of big delays. Air india is a joke of an airline which is just not funny . AVOID THEM.",Domestic,1.0,January 2025,7 January 2025,4.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0
AVOID - AIX is ALWAYS LATE,DebasisSamal,Bhubaneswar - Bengaluru,"Their flights get delayed for multiple times without specific reasons. It's not even a foggy day. This happens across routes. This lead to gate changes and many other inconvenience depending upon your destination, time of the day, and who is traveling with you (elderly/kids), etc.",Domestic,1.0,January 2025,7 January 2025,2.0,3.0,1.0,1.0,2.0,2.0,1.0,N/A
Horrible experience,Nivedita G,Kolkata (Calcutta) - Bengaluru,"Worst service ever! I will never choose to travel by this airline. The flight attendants were rude and didn't even assist passengers in keeping their overboard luggage that lacked space. Many passengers kept their small handbags in the overboard luggage space, and passengers with strollers didn't have space. The staff didn't even bother to make the necessary arrangements or address the issue causing tensions.",Domestic,3.0,January 2025,6 January 2025,4.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0
Poor flying experience,Vacation00148790355,Srinagar - New Delhi,"Over all the flying experience is poor and I guess this is mainly due to poor ground handling services. We flew from Srinagar to Del on 06th January 2025. Our flight was delayed due to poor weather conditions however there is no intimation from Airline side on delay and they kept us waiting without any intimation. The boarding gate was changed at the last minute and still they continued to display the same gate number at airport display TV’s. What was astonishing is that new gate there was no display and many passengers did not even realise as to for which flight they were boarding. What was even more annoying is that they made all passengers to walk in rain and freezing cold up till aircraft and did not provide either a vehicle or aero bridge facility till air craft. Every one had to walk on slippery and snowy walk way. The seats and in cabin was dirty with left over food by previous flyers. There were old food menus with a different rate card and after ordering food we realized that they have revised rates. While the cabin crew were found to be courteous other staff were found to be cold. Overall it lacked “Tata” signature quality and hospitality
Cheers
Pavan
6282556067",Domestic,2.0,January 2025,6 January 2025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
